page,carrier,product_grouping,product_name,states,pay_years,adv_mo,senior_1,associate_1,senior_2,associate_2,senior_3,associate_3,highlighted
5,Foresters,AP Rider,Term 10 Rider (Pay 100 and 20 Pay),USA,Yr1/2-10,9,52%,50%,1.0%,1.0%,,,
5,Foresters,AP Rider,Term 20 Rider (Pay 100 only),USA,Yr1/2-10,9,61%,59%,1.0%,1.0%,,,
5,Foresters,BrightFuture - Juvenile,WL Pay 100,USA,Yr1/2-10,9,75%,72%,1%,1%,,,
5,Foresters,BrightFuture - Juvenile,WL 10 Pay,USA,Y1,9,30%,28%,,,,,
5,Foresters,Whole Life,AP WL 20 Pay age 18-65,USA,Yr1/2-10,9,49%,47%,1.0%,1.0%,,,
5,Foresters,Whole Life,AP WL 20 Pay age 66-70,USA,Yr1/2-10,9,42%,40%,1.0%,1.0%,,,
5,Foresters,Whole Life,AP WL 20 Pay age 71-75,USA,Yr1/2-10,9,38%,36%,1.0%,1.0%,,,
5,Foresters,AP Non Medical,WL Pay 100 age 18-65,USA,"Yr1,2,3-10",9,80%,78%,4.5%,4.0%,1.0%,1.0%,
5,Foresters,AP Underwritten,WL Pay 100 age 18-65,USA,"Y1, 2-3, 4-10",9,80%,78%,4.5%,4.0%,3.0%,3.0%,
5,Foresters,AP Non Medical,WL Pay 100 age 66-70,USA,"Yr1,2,3-11",9,74%,72%,4.5%,4.0%,1.0%,1.0%,
5,Foresters,AP Underwritten,WL Pay 100 age 66-70,USA,"Y1, 2-3, 4-10",9,74%,72%,4.5%,4.0%,3.0%,3.0%,
5,Foresters,AP Non Medical,WL Pay 100 age 71-75,USA,"Yr1,2,3-12",9,64%,62%,4.5%,4.0%,1.0%,1.0%,
5,Foresters,AP Underwritten,WL Pay 100 age 71-75,USA,"Y1, 2-3, 4-10",9,64%,62%,4.5%,4.0%,3.0%,3.0%,
5,Foresters,AP Underwritten,WL Pay 100 age 76-80,USA,"Y1, 2-3, 4-10",9,58%,56%,4.5%,4.0%,3.0%,3.0%,
5,Foresters,AP Underwritten,WL Pay 100 age 81-85,USA,"Y1, 2-3, 4-10",9,52%,50%,4.5%,4.0%,3.0%,3.0%,
5,Foresters,Term Life,Your Term 10 Yr Medical,USA,Y1,9,58%,56%,,,,,
5,Foresters,Term Life,Your Term 30 Yr Non Med,USA,Y1,9,90%,88%,,,,,
5,Foresters,Term Life,Your Term 15-20 Yr Medical,USA,Y1,9,81%,79%,,,,,
5,Gerber Life,Accident,Accident Protection (Over $100k),FL,Y1,9,48%,46%,,,,,
5,Gerber Life,Accident,Accident Protection (Over $250k),USA,Y1,9,49%,47%,,,,,
5,Gerber Life,Accident,Accident Protection (Under $100k),FL,Y1,9,39%,37%,,,,,
5,Gerber Life,Accident,Accident Protection (Under $250k),USA,Y1,9,39%,37%,,,,,
5,Gerber Life,Whole Life,College Plan 10-15,USA,Y1,9,5.5%,5.0%,,,,,
5,Gerber Life,Whole Life,College Plan 16-20,USA,Y1,9,12.5%,12.0%,,,,,
5,Gerber Life,Whole Life,College Plan 5yr,USA,Y1,9,2.75%,2.5%,,,,,
5,Gerber Life,Whole Life,College Plan Single Premium,USA,Y1,9,1.75%,1.5%,,,,,
5,Gerber Life,Whole Life,Grow-Up Plan (Over $25k),USA,"Yrs 1, 2-5",9,48%,46%,1.5%,1.5%,,,
5,Gerber Life,Whole Life,Grow-Up Plan (Under $25k),USA,"Yrs 1, 2-5",9,39%,37%,1.5%,1.5%,,,
5,Gerber Life,Whole Life,Guaranteed Life,USA,"Yrs 1, 2-5",9,48%,46%,1.5%,1.5%,,,
5,Kansas City Life,Universal Life,Cashback Term $100k+,USA,"Y1, Y2-5",9,77%,75%,,,,,
5,Kansas City Life,Universal Life,Cashback Term $50k-$99k,USA,"Y1, 2-10",9,70%,67%,,,,,
5,Kansas City Life,Term Life,Choice Advantage Term 10-15,USA,Y1,9,61%,60%,,,,,
5,Kansas City Life,Term Life,Choice Advantage Term 20-30,USA,Y1,9,68%,65%,,,,,
5,Kansas City Life,Indexed Universal Life,Compass Elite IUL,USA,"Y1, 2-10",9,80%,77%,,,,,
5,Kansas City Life,Indexed Universal Life,Equiflex IUL,USA,"Y1, 2-10",9,80%,77%,,,,,
5,Kansas City Life,Whole Life,Gift of Life,USA,"Y1, 2-10",9,73%,71%,,,,,
5,Kansas City Life,Fixed Deferred Annuity,GrowthTrack / SecurityTrack,USA,"Y1, 2-7",9,3.5%,3.5%,1.5%,1.5%,,,
5,Kansas City Life,Term Life,Longevity Term to 80 or 85,USA,"Y1, 2-10",9,77%,75%,,,,,
5,Kansas City Life,Universal Life,Premier Protection UL,USA,"Y1, 2-10",9,80%,77%,,,,,
5,Kansas City Life,Fixed Deferred Annuity,SelecTrack 5,USA,Y1,9,2.0%,2.0%,,,,,
5,Kansas City Life,Fixed Deferred Annuity,SelecTrack 7 or 10,USA,Y1,9,2.25%,2.25%,,,,,
5,Kansas City Life,Term Life,Signature Term 10-15,USA,"Y1, 2-10",9,70%,67%,,,,,
5,Kansas City Life,Term Life,Signature Term 20-30,USA,"Y1, 2-10",9,77%,75%,,,,,
5,Kansas City Life,Whole Life,Value Assured WL,USA,"Y1, 2-10",9,80%,77%,,,,,
